,ENTIDAD,Mes,Año,Tipo_sequia,Precipitacion,Temperatura_promedio,Temperatura_maxima,Temperatura_minima,Sembrada_ha,Cosechada_ha,perdida_ha,producto
76,Aguascalientes,10,2004,NPS,22.0,17.94582213818124,26.167113360554207,9.72453091580826,11950,2746,9204,frijol
77,Aguascalientes,10,2005,NPS,14.0,17.605139420448328,26.302843083652267,8.907435757244398,52249,2544,49705,maiz
78,Aguascalientes,10,2005,NPS,14.0,17.605139420448328,26.302843083652267,8.907435757244398,10819,653,10166,frijol
79,Aguascalientes,10,2006,NPS,85.5,18.103344503023266,25.40685044529831,10.799838560748222,42057,122,41935,maiz
80,Aguascalientes,10,2006,NPS,85.5,18.103344503023266,25.40685044529831,10.799838560748222,9707,227,9480,frijol
81,Aguascalientes,10,2007,NPS,11.5,18.46342558812764,27.48887813937964,9.756268703504428,43796,5124,38672,maiz
82,Aguascalientes,10,2007,NPS,11.5,18.46342558812764,27.48887813937964,9.756268703504428,9898,1069,8829,frijol
83,Aguascalientes,10,2008,NPS,6.4,17.19295071666144,25.710728535024554,8.87584407645952,48773,5028,43745,maiz
84,Aguascalientes,10,2008,NPS,6.4,17.19295071666144,25.710728535024554,8.87584407645952,10074,2741,7333,frijol
85,Aguascalientes,10,2012,NPS,6.4,18.6,28.1,9.2,35322,2891,32431,maiz
86,Aguascalientes,10,2012,NPS,6.4,18.6,28.1,9.2,9280,2011,7269,frijol
87,Aguascalientes,10,2013,NPS,45.3,18.6,26.3,10.9,35780,7363,28417,maiz
88,Aguascalientes,10,2013,NPS,45.3,18.6,26.3,10.9,9436,7509,1927,frijol
89,Aguascalientes,10,2014,NPS,33.510000000000005,19.3,27.3,11.2,33710,21613,12097,maiz
90,Aguascalientes,10,2014,NPS,33.510000000000005,19.3,27.3,11.2,7855,6935,920,frijol
91,Aguascalientes,10,2015,NPS,106.64,18.1,25.6,10.7,31744,10889,20855,maiz
92,Aguascalientes,10,2015,NPS,106.64,18.1,25.6,10.7,8200,5996,2204,frijol
93,Aguascalientes,10,2016,NPS,8.729999999999999,19.8,26.7,10.9,31387,11330,20057,maiz
94,Aguascalientes,10,2016,NPS,8.729999999999999,19.8,26.7,10.9,9007,3017,5990,frijol
95,Aguascalientes,10,2017,NPS,21.790000000000006,17.8,25.6,10.0,32322,1877,30445,maiz
96,Aguascalientes,10,2017,NPS,21.790000000000006,17.8,25.6,10.0,7386,2679,4707,frijol
97,Aguascalientes,10,2018,NPS,83.31,18.5,25.1,12.0,32330,3440,28890,maiz
98,Aguascalientes,10,2018,NPS,83.31,18.5,25.1,12.0,7391,2797,4594,frijol
99,Aguascalientes,10,2019,D1,40.5,18.6,26.0,11.3,24783,2213,22570,maiz
100,Aguascalientes,10,2019,D1,40.5,18.6,26.0,11.3,4598,1142,3456,frijol
101,Aguascalientes,10,2020,D0,4.5,17.6,27.4,7.8,32713,795,31918,maiz
102,Aguascalientes,10,2020,D0,4.5,17.6,27.4,7.8,7235,2044,5191,frijol
103,Aguascalientes,11,2004,NPS,0.8,14.705305498455052,24.757136485280995,4.653474511629108,47286,43031,4255,maiz
104,Aguascalientes,11,2004,NPS,0.8,14.705305498455052,24.757136485280995,4.653474511629108,11950,10570,1380,frijol
105,Aguascalientes,11,2005,NPS,0.1,14.850284658843982,25.009039548022603,4.691529769665364,52249,8770,43479,maiz
106,Aguascalientes,11,2005,NPS,0.1,14.850284658843982,25.009039548022603,4.691529769665364,10819,1410,9409,frijol
107,Aguascalientes,11,2006,NPS,22.3,14.605509670645445,24.08463141025641,5.126387931034484,42057,24795,17262,maiz
108,Aguascalientes,11,2006,NPS,22.3,14.605509670645445,24.08463141025641,5.126387931034484,9707,7616,2091,frijol
109,Aguascalientes,11,2007,NPS,2.9219570378401074,14.909140984290493,25.336544753685516,4.710601068032826,43796,10786,33010,maiz
110,Aguascalientes,11,2007,NPS,2.9219570378401074,14.909140984290493,25.336544753685516,4.710601068032826,9898,2172,7726,frijol
111,Aguascalientes,11,2008,NPS,0.0,13.984624683731024,24.352169312805096,3.7587454210864757,48799,39593,9206,maiz
112,Aguascalientes,11,2008,NPS,0.0,13.984624683731024,24.352169312805096,3.7587454210864757,10074,6169,3905,frijol
113,Aguascalientes,11,2010,NPS,0.0,14.97007254584485,25.5679162468429,4.372228844846802,44774,12811,31963,maiz
114,Aguascalientes,11,2010,NPS,0.0,14.97007254584485,25.5679162468429,4.372228844846802,10414,5223,5191,frijol
115,Aguascalientes,11,2011,D3,1.1,15.226234286714835,25.10121425299489,5.351254320434791,4778,200,4578,frijol
116,Aguascalientes,11,2012,NPS,4.2,15.8,24.4,7.2,35322,13533,21789,maiz
117,Aguascalientes,11,2012,NPS,4.2,15.8,24.4,7.2,9280,5691,3589,frijol
118,Aguascalientes,11,2013,NPS,35.2,16.1,23.2,9.1,37091,33570,3521,maiz
119,Aguascalientes,11,2013,NPS,35.2,16.1,23.2,9.1,9436,8144,1292,frijol
120,Aguascalientes,11,2014,NPS,22.20000000000001,14.4,22.6,6.2,33710,28013,5697,maiz
121,Aguascalientes,11,2014,NPS,22.20000000000001,14.4,22.6,6.2,7855,7443,412,frijol
122,Aguascalientes,11,2015,NPS,8.25,17.1,25.3,8.9,31744,23211,8533,maiz
123,Aguascalientes,11,2015,NPS,8.25,17.1,25.3,8.9,8200,7019,1181,frijol
124,Aguascalientes,11,2016,NPS,30.06000000000001,15.9,23.4,8.4,31387,28297,3090,maiz
125,Aguascalientes,11,2016,NPS,30.06000000000001,15.9,23.4,8.4,9007,8272,735,frijol
126,Aguascalientes,11,2017,NPS,0.12,16.3,26.7,6.0,32322,26885,5437,maiz
127,Aguascalientes,11,2017,NPS,0.12,16.3,26.7,6.0,7386,7386,0,frijol
128,Aguascalientes,11,2018,NPS,40.51,14.7,23.1,6.2,32330,32129,201,maiz
