,ENTIDAD,Año,Mes,Temperatura_promedio,Temperatura_maxima,Temperatura_minima
35,BAJA CALIFORNIA SUR,2003,FEBRERO,18.25050017073322,25.820186702813817,10.680813638652621
36,CAMPECHE,2003,FEBRERO,25.308221726190467,32.64583333333332,17.970610119047617
37,COAHUILA,2003,FEBRERO,16.035938805346696,24.346083959899744,7.725793650793651
38,COLIMA,2003,FEBRERO,24.665773809523813,32.97678571428572,16.354761904761904
39,CHIAPAS,2003,FEBRERO,23.244272105209603,30.963143569393573,15.525400641025632
40,CHIHUAHUA,2003,FEBRERO,12.25883126683722,20.754736709498616,3.7629258241758237
41,CIUDAD DE MÉXICO,2003,FEBRERO,15.864095519864748,24.339180050718507,7.3890109890109885
42,DURANGO,2003,FEBRERO,12.958960415441895,21.89825429485923,4.0196665360245625
43,GUANAJUATO,2003,FEBRERO,16.365361324952367,26.000421708837543,6.730300941067194
44,GUERRERO,2003,FEBRERO,24.173676750512268,32.15091922536036,16.196434275664174
45,HIDALGO,2003,FEBRERO,15.975101078167118,25.5917115902965,6.358490566037735
46,JALISCO,2003,FEBRERO,18.2014759475102,28.272631195408156,8.130320699612243
47,ESTADO DE MÉXICO,2003,FEBRERO,12.890074569583334,22.698985890755555,3.0811632484111113
48,MICHOACÁN,2003,FEBRERO,16.06744611244643,25.444153911607145,6.690738313285716
49,MORELOS,2003,FEBRERO,20.455909863476194,29.863350339523816,11.048469387428572
50,NAYARIT,2003,FEBRERO,21.195436508777778,31.089285715555555,11.301587302000002
51,NUEVO LEÓN,2003,FEBRERO,14.215752550821431,22.478698978928577,5.952806122714286
52,OAXACA,2003,FEBRERO,21.921943680875003,30.56627747173077,13.277609890019233
53,PUEBLA,2003,FEBRERO,15.950595237733335,22.603571427333335,9.297619048133333
54,QUERÉTARO,2003,FEBRERO,16.6310763885625,25.60491071375,7.657242063375
55,QUINTANA ROO,2003,FEBRERO,24.38992973514706,31.21964190970589,17.56021756058823
56,SAN LUIS POTOSÍ,2003,FEBRERO,18.790706420499994,27.036507902866656,10.544904938133328
57,SINALOA,2003,FEBRERO,20.872939292749997,29.126235727894734,12.619642857605262
58,SONORA,2003,FEBRERO,15.801067990635653,24.126237124263554,7.475898857007754
59,TABASCO,2003,FEBRERO,25.477251185,31.37393365,19.58056872
60,TAMAULIPAS,2003,FEBRERO,19.138811272826445,25.991545323057853,12.286077222595038
61,TLAXCALA,2003,FEBRERO,13.641964285875,24.0725000005,3.21142857125
62,VERACRUZ,2003,FEBRERO,21.296002581837357,27.533700516506034,15.058304647168677
63,YUCATÁN,2003,FEBRERO,25.299713195000002,32.49330784,18.10611855
64,ZACATECAS,2003,FEBRERO,14.132140849017858,23.718095146428574,4.546186551607142
65,NACIONAL,2003,FEBRERO,18.398187360524368,26.77124844826944,10.025126272779298
66,AGUASCALIENTES,2003,MARZO,16.570585019136143,27.33652268999454,5.804647348277748
67,BAJA CALIFORNIA,2003,MARZO,14.809582111436953,21.767121212121218,7.8520430107526895
68,BAJA CALIFORNIA SUR,2003,MARZO,18.886144864368266,27.273125748452305,10.499163980284226
69,CAMPECHE,2003,MARZO,26.615165770609316,34.36677867383512,18.86355286738351
70,COAHUILA,2003,MARZO,18.197916666666668,27.717002688172045,8.678830645161291
71,COLIMA,2003,MARZO,24.17661290322581,33.01827956989248,15.33494623655914
