,ENTIDAD,Año,Mes,Temperatura_promedio,Temperatura_maxima,Temperatura_minima
33,AGUASCALIENTES,2003,2,15.105629539951579,25.06658595641648,5.144673123486685
34,BAJA CALIFORNIA,2003,2,12.165395355673134,18.812536743092306,5.518253968253969
35,BAJA CALIFORNIA SUR,2003,2,18.25050017073322,25.820186702813817,10.68081363865262
36,CAMPECHE,2003,2,25.308221726190467,32.64583333333332,17.970610119047613
37,COAHUILA,2003,2,16.035938805346696,24.346083959899744,7.725793650793651
38,COLIMA,2003,2,24.665773809523806,32.97678571428572,16.354761904761904
39,CHIAPAS,2003,2,23.244272105209603,30.96314356939357,15.525400641025634
40,CHIHUAHUA,2003,2,12.25883126683722,20.754736709498612,3.762925824175824
41,CIUDAD DE MÉXICO,2003,2,15.864095519864748,24.33918005071851,7.3890109890109885
42,DURANGO,2003,2,12.958960415441895,21.89825429485923,4.0196665360245625
43,GUANAJUATO,2003,2,16.365361324952367,26.000421708837546,6.730300941067194
44,GUERRERO,2003,2,24.17367675051227,32.15091922536036,16.196434275664178
45,HIDALGO,2003,2,15.975101078167116,25.5917115902965,6.3584905660377355
46,JALISCO,2003,2,18.2014759475102,28.27263119540816,8.130320699612241
47,ESTADO DE MÉXICO,2003,2,12.890074569583335,22.69898589075555,3.0811632484111118
48,MICHOACÁN,2003,2,16.06744611244643,25.444153911607145,6.690738313285715
49,MORELOS,2003,2,20.455909863476194,29.863350339523816,11.048469387428572
50,NAYARIT,2003,2,21.195436508777775,31.089285715555555,11.301587302000003
51,NUEVO LEÓN,2003,2,14.215752550821431,22.478698978928577,5.952806122714286
52,OAXACA,2003,2,21.921943680875007,30.56627747173077,13.277609890019233
53,PUEBLA,2003,2,15.950595237733335,22.603571427333325,9.297619048133331
54,QUERÉTARO,2003,2,16.6310763885625,25.60491071375,7.657242063375
55,QUINTANA ROO,2003,2,24.389929735147057,31.219641909705892,17.56021756058823
56,SAN LUIS POTOSÍ,2003,2,18.790706420499998,27.036507902866653,10.544904938133328
57,SINALOA,2003,2,20.87293929275,29.12623572789473,12.619642857605262
58,SONORA,2003,2,15.801067990635653,24.126237124263554,7.475898857007754
59,TABASCO,2003,2,25.477251185,31.37393365,19.58056872
60,TAMAULIPAS,2003,2,19.138811272826445,25.991545323057853,12.286077222595036
61,TLAXCALA,2003,2,13.641964285875002,24.072500000500003,3.21142857125
62,VERACRUZ,2003,2,21.29600258183736,27.533700516506034,15.058304647168677
63,YUCATÁN,2003,2,25.299713195,32.49330784,18.10611855
64,ZACATECAS,2003,2,14.132140849017858,23.71809514642857,4.546186551607142
65,NACIONAL,2003,2,18.398187360524368,26.771248448269443,10.025126272779296
66,AGUASCALIENTES,2003,3,16.570585019136146,27.336522689994542,5.804647348277747
67,BAJA CALIFORNIA,2003,3,14.809582111436953,21.767121212121214,7.8520430107526895
68,BAJA CALIFORNIA SUR,2003,3,18.886144864368266,27.273125748452305,10.499163980284226
69,CAMPECHE,2003,3,26.615165770609323,34.36677867383512,18.86355286738351
70,COAHUILA,2003,3,18.197916666666668,27.717002688172045,8.678830645161291
71,COLIMA,2003,3,24.17661290322581,33.018279569892485,15.33494623655914
72,CHIAPAS,2003,3,24.64296909191369,32.292520435550216,16.993417748277174
73,CHIHUAHUA,2003,3,14.387068304707913,23.66882618542592,5.105310423989909
74,CIUDAD DE MÉXICO,2003,3,16.862567204301072,25.43346774193548,8.291666666666666
75,DURANGO,2003,3,15.031944782648626,25.07385358639381,4.990035978903438
76,GUANAJUATO,2003,3,18.08414590021669,27.989626519769878,8.178665280663505
77,GUERRERO,2003,3,24.635035818564873,32.82649117237133,16.443580464758412
78,HIDALGO,2003,3,17.389379184418747,26.814972611077298,7.963785757760193
