,Estado,Sembrada_ha,Cosechada_ha,Año,Mes
251,Baja california,4,2.0,2005,8
252,Campeche,2926,1539.0,2005,8
253,Chiapas,45405,40650.0,2005,8
254,Chihuahua,195,78.0,2005,8
255,Guerrero,88,88.0,2005,8
256,Hidalgo,4861,4861.0,2005,8
257,Jalisco,1896,1896.0,2005,8
258,Michoacan,40,20.0,2005,8
259,Nayarit,40533,32220.0,2005,8
260,Oaxaca,3375,3375.0,2005,8
261,Puebla,2546,355.0,2005,8
262,Quintana roo,2845,2246.0,2005,8
263,San luis potosi,840,741.0,2005,8
264,Sinaloa,10298,9740.0,2005,8
265,Sonora,44,44.0,2005,8
266,Tabasco,6032,4264.0,2005,8
267,Tamaulipas,919,86.0,2005,8
268,Veracruz,23870,22605.0,2005,8
269,Yucatan,901,867.0,2005,8
270,Total,147619,125677.0,2005,8
271,Baja california,4,2.0,2005,9
272,Campeche,2926,1539.0,2005,9
273,Chiapas,45405,44335.0,2005,9
274,Chihuahua,195,78.0,2005,9
275,Guerrero,88,88.0,2005,9
276,Hidalgo,4861,4861.0,2005,9
277,Jalisco,1896,1896.0,2005,9
278,Michoacan,40,40.0,2005,9
279,Nayarit,40533,32220.0,2005,9
280,Oaxaca,3375,3375.0,2005,9
281,Puebla,2546,355.0,2005,9
282,Quintana roo,2845,2246.0,2005,9
283,San luis potosi,840,741.0,2005,9
284,Sinaloa,10298,9954.0,2005,9
285,Sonora,44,44.0,2005,9
286,Tabasco,6032,4264.0,2005,9
287,Tamaulipas,919,88.0,2005,9
288,Veracruz,23878,22932.0,2005,9
289,Yucatan,901,867.0,2005,9
290,Total,147627,129925.0,2005,9
291,Baja california,4,2.0,2005,12
292,Campeche,2926,1539.0,2005,12
293,Chiapas,45405,44335.0,2005,12
294,Chihuahua,195,78.0,2005,12
295,Guerrero,88,88.0,2005,12
296,Hidalgo,4861,4861.0,2005,12
297,Jalisco,1896,1896.0,2005,12
298,Michoacan,40,40.0,2005,12
299,Nayarit,40533,32220.0,2005,12
300,Oaxaca,3375,3375.0,2005,12
301,Puebla,2546,355.0,2005,12
302,Quintana roo,2845,2246.0,2005,12
303,San luis potosi,840,741.0,2005,12
304,Sinaloa,10298,9954.0,2005,12
305,Sonora,44,44.0,2005,12
306,Tabasco,6032,4264.0,2005,12
307,Tamaulipas,919,88.0,2005,12
308,Veracruz,23878,22932.0,2005,12
309,Yucatan,901,867.0,2005,12
310,Total,147627,129925.0,2005,12
311,Chiapas,43807,2190.0,2006,1
312,Hidalgo,3957,3925.0,2006,1
313,Nayarit,46560,60.0,2006,1
314,Oaxaca,2073,338.0,2006,1
315,Sinaloa,11724,2500.0,2006,1
316,Veracruz,18326,2651.0,2006,1
317,Total,136467,11664.0,2006,1
318,Campeche,1347,7.0,2006,2
319,Chiapas,44998,4838.0,2006,2
320,Hidalgo,4510,3925.0,2006,2
321,Jalisco,2104,1770.0,2006,2
322,Nayarit,46602,19981.0,2006,2
323,Oaxaca,2290,488.0,2006,2
324,Quintana roo,2579,1315.0,2006,2
325,Sinaloa,11872,5771.0,2006,2
326,Tabasco,4909,100.0,2006,2
327,Veracruz,24500,6157.0,2006,2
328,Yucatan,273,15.0,2006,2
329,Total,147910,44367.0,2006,2
330,Campeche,1347,7.0,2006,3
331,Chiapas,45078,25954.0,2006,3
332,Hidalgo,4675,3925.0,2006,3
333,Jalisco,2116,1810.0,2006,3
334,Nayarit,46632,46323.0,2006,3
335,Oaxaca,2341,665.0,2006,3
336,Quintana roo,2579,1450.0,2006,3
337,San luis potosi,682,384.0,2006,3
338,Sinaloa,11872,11271.0,2006,3
339,Tabasco,4909,1550.0,2006,3
340,Tamaulipas,747,400.0,2006,3
341,Veracruz,24726,8952.0,2006,3
342,Yucatan,273,15.0,2006,3
343,Total,148565,102705.0,2006,3
344,Campeche,2579,2479.0,2006,4
345,Chiapas,45078,36043.0,2006,4
346,Guerrero,91,83.0,2006,4
347,Hidalgo,4675,3925.0,2006,4
348,Jalisco,2104,2020.0,2006,4
349,Nayarit,46632,46523.0,2006,4
350,Oaxaca,2341,936.0,2006,4
351,Quintana roo,2579,1450.0,2006,4
352,San luis potosi,682,635.0,2006,4
353,Sinaloa,11872,11271.0,2006,4
354,Tabasco,5013,4448.0,2006,4
355,Tamaulipas,747,712.0,2006,4
356,Veracruz,24792,12029.0,2006,4
357,Yucatan,273,16.0,2006,4
358,Total,149949,122570.0,2006,4
359,Campeche,2579,2559.0,2006,5
360,Chiapas,45078,42362.0,2006,5
361,Guerrero,91,91.0,2006,5
362,Hidalgo,4675,4285.0,2006,5
363,Jalisco,2104,2099.0,2006,5
364,Nayarit,46632,46523.0,2006,5
365,Oaxaca,2341,1464.0,2006,5
366,Puebla,333,15.0,2006,5
367,Quintana roo,2579,1450.0,2006,5
368,San luis potosi,682,682.0,2006,5
369,Sinaloa,11872,11271.0,2006,5
370,Tabasco,5013,4820.0,2006,5
371,Tamaulipas,747,712.0,2006,5
372,Veracruz,24792,17796.0,2006,5
373,Yucatan,273,16.0,2006,5
374,Total,149949,136146.0,2006,5
375,Campeche,2579,2559.0,2006,6
376,Chiapas,45078,43345.0,2006,6
377,Guerrero,91,91.0,2006,6
378,Hidalgo,4675,4585.0,2006,6
379,Jalisco,2104,2099.0,2006,6
380,Nayarit,46632,46523.0,2006,6
381,Oaxaca,2906,2884.0,2006,6
382,Puebla,333,284.0,2006,6
383,Quintana roo,2579,1490.0,2006,6
384,San luis potosi,682,682.0,2006,6
385,Sinaloa,11872,11281.0,2006,6
