NOM_ENT,Año,area
Sonora,2009,13144571.99452742
Tabasco,2009,64483630.21992833
Tamaulipas,2009,206698704.6715684
Tlaxcala,2009,511848.8202466778
Veracruz de Ignacio de la Llave,2009,247988546.56991327
Yucatán,2009,560934687.2920344
Zacatecas,2009,900644.3869298599
México,2009,4105380.0898971264
Michoacán de Ocampo,2009,28264415.557841226
Morelos,2009,506645.3862082089
Nayarit,2009,7346913.859458772
Nuevo León,2009,81865398.20666909
Oaxaca,2009,181632924.23851725
Puebla,2009,28728320.07654981
Guerrero,2009,59592923.95150122
Hidalgo,2009,23488510.22035223
Jalisco,2009,18653801.12645168
Guanajuato,2009,1327941.9989779606
Durango,2009,9014115.473891554
Ciudad de México,2009,74410.50555419923
Chihuahua,2009,8275456.6889859075
Chiapas,2009,324794224.6643947
Colima,2009,2460360.380749751
Coahuila de Zaragoza,2009,12280488.821249567
Campeche,2009,539789981.0274526
Baja California Sur,2009,377352.96014141006
Baja California,2009,88842712.13807613
Aguascalientes,2010,73935.73638916017
Querétaro,2010,3299975.6844772035
Quintana Roo,2010,178925010.16463816
San Luis Potosí,2010,44934862.88286707
Sinaloa,2010,53754748.40001316
Sonora,2010,22007025.350463867
Tabasco,2010,30754503.76832251
Tamaulipas,2010,120537442.00751448
Tlaxcala,2010,451125.8252161364
Veracruz de Ignacio de la Llave,2010,184745191.67525008
Yucatán,2010,201579978.07871208
Zacatecas,2010,730145.6298040651
México,2010,4634656.220528636
Michoacán de Ocampo,2010,29464583.954922065
Morelos,2010,349805.4005059934
Nayarit,2010,9120094.142875882
Nuevo León,2010,74176245.77605553
Oaxaca,2010,172460388.39447668
Puebla,2010,30905343.86847522
Guerrero,2010,41798796.23952325
Hidalgo,2010,37016953.7059575
Jalisco,2010,33146769.357397463
Guanajuato,2010,1040063.899098116
Durango,2010,10346368.260864258
Ciudad de México,2010,57483.164794921875
Chihuahua,2010,9050103.729236796
Chiapas,2010,287502325.3684168
Colima,2010,2398592.5361991134
Coahuila de Zaragoza,2010,28639226.438196998
Campeche,2010,201803760.2082077
Baja California Sur,2010,1104366.5362548828
Baja California,2010,12355200.329045314
Aguascalientes,2011,136252.16430664062
Querétaro,2011,3600259.4811322377
Quintana Roo,2011,403878863.9312447
San Luis Potosí,2011,86973252.1865299
Sinaloa,2011,19209006.628298767
Sonora,2011,4060633.707855344
Tabasco,2011,40266078.57503184
Tamaulipas,2011,112668514.80065368
Tlaxcala,2011,392594.36452923936
Veracruz de Ignacio de la Llave,2011,281881572.40650684
Yucatán,2011,138470946.0663876
Zacatecas,2011,664217.9174560547
México,2011,2890561.1547451844
Michoacán de Ocampo,2011,35573484.51308306
Morelos,2011,494139.2576700847
Nayarit,2011,5292783.798424814
Nuevo León,2011,74540228.82689162
Oaxaca,2011,186570196.00803724
Puebla,2011,20041202.05801595
Guerrero,2011,48178146.16938764
Hidalgo,2011,31956990.854123585
Jalisco,2011,13749839.0466086
Guanajuato,2011,1165777.3710406136
Durango,2011,19289283.23894043
Ciudad de México,2011,66773.86157226562
Chihuahua,2011,21137492.584838625
Chiapas,2011,260925326.2059632
Colima,2011,2408687.8353845933
Coahuila de Zaragoza,2011,42434093.25760642
Campeche,2011,146591963.83401975
Baja California Sur,2011,1728144.1536254885
Baja California,2011,2954495.564880371
Aguascalientes,2012,100107.79358915439
Querétaro,2012,6509590.335750802
Quintana Roo,2012,176153684.17505077
San Luis Potosí,2012,41032207.25334186
Sinaloa,2012,33156704.91495649
Sonora,2012,13253066.472638534
Tabasco,2012,53018102.38303534
Tamaulipas,2012,103227490.57995772
Tlaxcala,2012,676370.3324747722
Veracruz de Ignacio de la Llave,2012,169169007.60752836
Yucatán,2012,164901081.07958502
Zacatecas,2012,1487135.5627786075
México,2012,5579356.976669251
Michoacán de Ocampo,2012,44454170.94235624
Morelos,2012,669109.6478731043
Nayarit,2012,16151125.920441033
Nuevo León,2012,41548512.65398621
Oaxaca,2012,147952655.22052076
Puebla,2012,19182019.859504726
Guerrero,2012,97710128.45283464
Hidalgo,2012,48249068.64009675
Jalisco,2012,27675272.663945936
Guanajuato,2012,1599541.5693909891
Durango,2012,20858649.576712094
Ciudad de México,2012,92985.07208251953
Chihuahua,2012,46375593.81644861
Chiapas,2012,277252838.41619563
Colima,2012,3413836.057347197
Coahuila de Zaragoza,2012,14032824.799150296
Campeche,2012,326790327.28960085
Baja California Sur,2012,1636792.409683527
Baja California,2012,5887339.685058594
Aguascalientes,2013,280323.61818656174
Querétaro,2013,1619232.1782439589
Quintana Roo,2013,287189606.00939614
San Luis Potosí,2013,57894893.47155403
Sinaloa,2013,50615934.5177969
Sonora,2013,9212896.023246257
Tabasco,2013,79308732.65831034
Tamaulipas,2013,95223631.28357317
Tlaxcala,2013,346365.1180020202
Veracruz de Ignacio de la Llave,2013,265023050.3363308
Yucatán,2013,210754471.22348705
Zacatecas,2013,2127832.792194441
México,2013,9031073.609660307
Michoacán de Ocampo,2013,90277998.17077254
Morelos,2013,1203192.3734147614
Nayarit,2013,27400059.68506027
Nuevo León,2013,27939054.15810882
Oaxaca,2013,178022244.24511936
Puebla,2013,30595865.84074157
Guerrero,2013,122993141.97262394
Hidalgo,2013,27542821.70968065
Jalisco,2013,58915780.45734887
Guanajuato,2013,4603674.790557742
Durango,2013,32288930.41865426
Ciudad de México,2013,128243.66201171876
Chihuahua,2013,24642641.77045731
Chiapas,2013,375623477.5371747
Colima,2013,4822823.600063669
Coahuila de Zaragoza,2013,3996864.534713685
Campeche,2013,427905631.64178514
Baja California Sur,2013,660051.7123987535
Baja California,2013,8179102.25378418
Aguascalientes,2014,93063.32550048828
Querétaro,2014,953408.1070058786
Quintana Roo,2014,167607164.6273478
San Luis Potosí,2014,26811732.97297076
Sinaloa,2014,24468925.10117713
Sonora,2014,3270147.9510617717
Tabasco,2014,88316935.79717012
Tamaulipas,2014,56771427.884234495
Tlaxcala,2014,139334.11981201172
Veracruz de Ignacio de la Llave,2014,233865681.00267112
Yucatán,2014,218523580.02037665
Zacatecas,2014,1141636.2161254885
México,2014,6673349.92186399
Michoacán de Ocampo,2014,59916357.36525473
Morelos,2014,968149.3532274432
Nayarit,2014,20657750.62298009
Nuevo León,2014,28272446.594201896
Oaxaca,2014,185809138.81179768
Puebla,2014,27994028.500829604
Guerrero,2014,98058947.02026056
Hidalgo,2014,21815604.699159387
Jalisco,2014,32051894.33628504
Guanajuato,2014,933750.5494636088
Durango,2014,12326095.537787465
Ciudad de México,2014,114135.01025390625
Chihuahua,2014,10299499.320926202
Chiapas,2014,354292938.42111546
Colima,2014,2905349.2250220207
Coahuila de Zaragoza,2014,2788824.433584176
Campeche,2014,287818316.32627004
Baja California Sur,2014,442757.377355239
Baja California,2014,14560746.36090088
Aguascalientes,2015,0.0
Querétaro,2015,452663.0222945868
Quintana Roo,2015,365087044.9942221
San Luis Potosí,2015,28108368.87317301
Sinaloa,2015,15757386.85641635
Sonora,2015,1050102.1703113029
Tabasco,2015,91840886.70770624
Tamaulipas,2015,31525426.21230397
Tlaxcala,2015,165499.33102237474
Veracruz de Ignacio de la Llave,2015,224097759.5596933
Yucatán,2015,259989799.4850138
Zacatecas,2015,16673.548828125
México,2015,2437712.410971249
Michoacán de Ocampo,2015,62052267.06437845
Morelos,2015,195259.41847857306
Nayarit,2015,17504424.968839753
Nuevo León,2015,25267758.07481211
Oaxaca,2015,162853943.14136243
Puebla,2015,29916055.57506032
Guerrero,2015,102580159.90513796
Hidalgo,2015,14089461.821861835
Jalisco,2015,27713419.50219511
Guanajuato,2015,360300.3807557349
Durango,2015,7396762.981896972
Ciudad de México,2015,15163.954863185509
Chihuahua,2015,2483566.129120711
Chiapas,2015,343968194.5797352
Colima,2015,3730210.2655031686
Coahuila de Zaragoza,2015,2625547.389775295
Campeche,2015,415045842.7486653
Baja California Sur,2015,0.0
Baja California,2015,26493320.01904297
Aguascalientes,2016,2491.814758300781
Querétaro,2016,2093632.328456744
Quintana Roo,2016,194025013.93725947
San Luis Potosí,2016,42903517.46989363
Sinaloa,2016,24304327.286317594
Sonora,2016,1702068.28792581
Tabasco,2016,141580405.9353968
Tamaulipas,2016,80432094.69467631
Tlaxcala,2016,153841.1864961512
Veracruz de Ignacio de la Llave,2016,326294645.4859495
Yucatán,2016,292094796.034156
Zacatecas,2016,17435.654174804688
México,2016,6415400.000432032
Michoacán de Ocampo,2016,90253585.70896932
Morelos,2016,253916.13492000804
Nayarit,2016,19544642.935048547
Nuevo León,2016,47634077.36897021
Oaxaca,2016,307528694.44070035
Puebla,2016,51312267.41956165
Guerrero,2016,137658484.10768732
Hidalgo,2016,25213268.97884785
Jalisco,2016,47820476.69120998
Guanajuato,2016,138409.107421875
Durango,2016,11312430.575546445
Ciudad de México,2016,109769.9792794022
Chihuahua,2016,13115272.86485093
Chiapas,2016,725892328.2497529
Colima,2016,6581482.066731531
Coahuila de Zaragoza,2016,3723726.219133205
Campeche,2016,599221624.4415287
Baja California Sur,2016,820.1226196289062
Baja California,2016,7164987.911499023
Aguascalientes,2017,0.0
Querétaro,2017,2737719.186152679
Quintana Roo,2017,420728676.0640635
San Luis Potosí,2017,67775674.41275157
Sinaloa,2017,13937178.335459512
Sonora,2017,9464790.574157717
Tabasco,2017,196404450.86857885
Tamaulipas,2017,97665195.28671876
Tlaxcala,2017,640651.877080461
Veracruz de Ignacio de la Llave,2017,338502035.9659239
Yucatán,2017,322673354.31698304
Zacatecas,2017,50595.56921386719
México,2017,6424058.9275560565
Michoacán de Ocampo,2017,72751924.9083678
Morelos,2017,595997.0258686141
Nayarit,2017,23407573.97684853
Nuevo León,2017,45403527.01908677
Oaxaca,2017,346568583.5720816
Puebla,2017,42243359.808153816
Guerrero,2017,103568124.03804596
Hidalgo,2017,30511491.5932993
Jalisco,2017,53560912.5704384
Guanajuato,2017,352481.147735476
Durango,2017,14217122.163522998
Ciudad de México,2017,98769.32734303194
Chihuahua,2017,21570915.512879133
Chiapas,2017,539928346.780063
Colima,2017,7714789.064553414
Coahuila de Zaragoza,2017,2365943.4660524856
Campeche,2017,718986010.3649563
Baja California Sur,2017,0.0
Baja California,2017,82202866.67761229
Aguascalientes,2018,7476.984313964844
Querétaro,2018,2084660.1634023627
Quintana Roo,2018,158700704.49014154
San Luis Potosí,2018,59764785.56438299
Sinaloa,2018,29655265.525046915
Sonora,2018,13763480.769888606
Tabasco,2018,147424653.88437954
Tamaulipas,2018,114622311.93817905
Tlaxcala,2018,639024.6127075196
Veracruz de Ignacio de la Llave,2018,385907749.71802664
Yucatán,2018,222913157.555457
Zacatecas,2018,169734.97375488278
México,2018,12404560.769609278
Michoacán de Ocampo,2018,117908412.37437576
Morelos,2018,1359854.683557129
Nayarit,2018,32837128.74649323
Nuevo León,2018,47400452.68936313
Oaxaca,2018,359421561.1055384
Puebla,2018,48077096.45138731
Guerrero,2018,154593462.38412705
Hidalgo,2018,30034020.003996257
Jalisco,2018,101591578.76901568
Guanajuato,2018,1140232.5202318379
Durango,2018,23311740.459915224
Ciudad de México,2018,297588.31372070307
Chihuahua,2018,64144875.01227094
Chiapas,2018,594383033.3750397
Colima,2018,7029323.819295008
Coahuila de Zaragoza,2018,6888542.360138778
Campeche,2018,432245555.66744703
Baja California Sur,2018,7391.599060058594
Baja California,2018,42146886.20471192
Aguascalientes,2019,831.2515258789062
Querétaro,2019,1898393.463241757
Quintana Roo,2019,371629000.5399744
San Luis Potosí,2019,104525016.15523706
Sinaloa,2019,15140405.336160814
Sonora,2019,1716333.2175699868
Tabasco,2019,310474078.2703228
Tamaulipas,2019,74096584.31860423
Tlaxcala,2019,868166.9883444394
Veracruz de Ignacio de la Llave,2019,485512751.3946748
Yucatán,2019,316405322.39784795
Zacatecas,2019,128941.73510742188
México,2019,5847767.484094718
Michoacán de Ocampo,2019,78518089.63193336
Morelos,2019,236351.9580334233
Nayarit,2019,24179691.011529185
Nuevo León,2019,30322803.55248257
Oaxaca,2019,368216182.25080216
Puebla,2019,49261332.17706538
Guerrero,2019,94223318.04226144
Hidalgo,2019,35106165.51609031
Jalisco,2019,74421639.1495785
Guanajuato,2019,732779.1838378906
Durango,2019,15108174.78546741
Ciudad de México,2019,162676.73020881205
Chihuahua,2019,6071017.954488117
Chiapas,2019,751472586.7904718
Colima,2019,6031607.734047564
Coahuila de Zaragoza,2019,3042213.3165443568
Campeche,2019,551334557.0154996
Baja California Sur,2019,23799.093688964844
Baja California,2019,15431675.893170524
Aguascalientes,2020,10803.873840332033
Querétaro,2020,1498488.1562727385
Quintana Roo,2020,544976592.7150625
San Luis Potosí,2020,58404971.61004472
Sinaloa,2020,18173220.7059994
Sonora,2020,2689441.5961914062
Tabasco,2020,129544856.34551568
Tamaulipas,2020,67009578.7840411
Tlaxcala,2020,3009276.04908184
Veracruz de Ignacio de la Llave,2020,299826426.2749697
Yucatán,2020,269396907.0619555
Zacatecas,2020,62269.121520996094
México,2020,5431258.177982824
Michoacán de Ocampo,2020,59864131.2756228
Morelos,2020,151095.86205743527
Nayarit,2020,22003914.95244308
Nuevo León,2020,30852407.368595377
Oaxaca,2020,235784396.13413703
Puebla,2020,64988077.83584631
Guerrero,2020,86274709.46563001
Hidalgo,2020,53584648.20963421
Jalisco,2020,52162345.83203867
Guanajuato,2020,1741102.3257446291
Durango,2020,10522904.312683104
Ciudad de México,2020,21133.12744140625
Chihuahua,2020,4308037.600460516
Chiapas,2020,512572278.27617145
Colima,2020,6916118.732200232
Coahuila de Zaragoza,2020,1562228.6941504385
Campeche,2020,837448212.6303321
Baja California Sur,2020,54666.64855957031
Baja California,2020,37730295.74798584
