NOM_ENT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Oaxaca,148312383.03088903,161221882.30626363,101934205.68881068,122418324.4460844,209115667.29127556,140124820.96389398,227939371.93988535,178324936.42697588,181632924.23851725,172460388.39447668,186570196.00803724,147952655.22052076,178022244.24511936,185809138.8117977,162853943.14136243,307528694.44070035,346568583.5720816,359421561.10553837,368216182.25080216,235784396.13413703
Puebla,14222744.088369813,14630069.230959665,11677025.763232902,19611657.48193718,14109363.792134125,22522949.72565655,23164515.45182339,12278498.40323606,28728320.07654981,30905343.86847522,20041202.05801595,19182019.859504726,30595865.84074157,27994028.500829604,29916055.57506032,51312267.41956165,42243359.808153816,48077096.45138731,49261332.17706538,64988077.835846305
Guerrero,36240970.137315705,18887399.23543366,11744898.119630102,35405185.562617764,26776991.95012423,33699938.07325344,87824947.85519467,51762325.40295195,59592923.95150122,41798796.23952325,48178146.16938764,97710128.45283464,122993141.97262394,98058947.02026056,102580159.90513796,137658484.10768732,103568124.03804596,154593462.38412705,94223318.04226144,86274709.46563001
Hidalgo,19971896.60920506,17599288.109508313,13549960.384904444,25582384.81919376,18203470.287861664,27783007.5589164,28788835.923794616,18980466.2368772,23488510.22035223,37016953.7059575,31956990.854123585,48249068.64009675,27542821.70968065,21815604.699159387,14089461.821861835,25213268.97884785,30511491.5932993,30034020.003996257,35106165.51609031,53584648.20963421
Jalisco,27281331.50223652,7699777.691802382,10500230.15313984,15051256.75905666,36727808.05112305,12867527.94635632,20813906.19959286,16813104.939172365,18653801.12645168,33146769.357397463,13749839.0466086,27675272.663945936,58915780.45734887,32051894.33628504,27713419.50219511,47820476.69120998,53560912.5704384,101591578.76901568,74421639.1495785,52162345.83203867
Guanajuato,3561992.8799969843,1008655.5187054805,1248154.177548158,1929029.0551695584,1422632.6876220703,807915.5698852539,1461413.7939912684,1039947.102355957,1327941.9989779606,1040063.899098116,1165777.3710406136,1599541.5693909891,4603674.790557742,933750.5494636088,360300.3807557349,138409.107421875,352481.147735476,1140232.5202318379,732779.1838378906,1741102.3257446291
Durango,7623564.459669165,7487523.683241901,4850408.694376628,5317538.134878121,12427844.853967765,7749431.218873267,13063777.685513128,14814324.808370672,9014115.473891554,10346368.260864258,19289283.23894043,20858649.576712094,32288930.41865426,12326095.537787465,7396762.981896972,11312430.575546445,14217122.163522998,23311740.459915224,15108174.78546741,10522904.312683104
Ciudad de México,196993.73664119944,54119.78936767578,121788.0167236328,196069.34408485566,49040.965393066406,29584.11114501953,34675.039001464844,76959.91638183594,74410.50555419923,57483.16479492188,66773.86157226562,92985.07208251953,128243.66201171876,114135.01025390625,15163.954863185509,109769.9792794022,98769.32734303194,297588.31372070307,162676.73020881205,21133.12744140625
Chihuahua,4694426.904759783,10546883.075886564,4603810.852497654,11544883.57039412,8994649.360813994,12311569.150894228,6741907.673828125,11447033.023785282,8275456.6889859075,9050103.729236796,21137492.584838625,46375593.81644861,24642641.77045731,10299499.320926202,2483566.129120711,13115272.86485093,21570915.512879133,64144875.01227094,6071017.954488117,4308037.600460516
Chiapas,210748673.70813897,175921254.99110875,228344125.7525793,268061758.62134752,243747183.73550093,210560179.68734732,336461522.8697584,297865473.9679647,324794224.6643947,287502325.3684168,260925326.2059632,277252838.41619563,375623477.5371747,354292938.42111546,343968194.5797352,725892328.2497529,539928346.780063,594383033.3750398,751472586.7904718,512572278.27617145
Colima,10013734.297856113,1585417.8050608912,2104001.6157836914,1701643.0053100588,2304063.594177246,2069045.5742082184,5299548.225280762,1770475.5912217083,2460360.380749751,2398592.5361991134,2408687.8353845933,3413836.057347197,4822823.600063669,2905349.2250220207,3730210.2655031686,6581482.066731531,7714789.064553414,7029323.819295008,6031607.734047564,6916118.732200232
Coahuila de Zaragoza,19688025.15864856,19081077.423776906,13802637.348862832,12233189.119083898,11086562.377820063,15315111.425187893,7482618.618869676,20183773.53183713,12280488.821249567,28639226.438197,42434093.25760642,14032824.799150296,3996864.534713685,2788824.433584176,2625547.389775295,3723726.219133205,2365943.4660524856,6888542.360138778,3042213.3165443568,1562228.6941504385
Campeche,225064815.81304047,231158930.16684404,390533532.60121423,277977063.44277894,344766883.02395016,243547362.92139152,369801931.3835244,310231800.4089238,539789981.0274526,201803760.2082077,146591963.83401975,326790327.2896008,427905631.64178514,287818316.32627004,415045842.74866533,599221624.4415287,718986010.3649563,432245555.66744703,551334557.0154996,837448212.6303321
Baja California Sur,12542915.64428711,914236.6998276656,1454737.9508779491,3336643.0123872645,507898.8348388672,854251.1244846717,620124.2150268555,718822.2276000977,377352.96014141006,1104366.5362548828,1728144.1536254885,1636792.409683527,660051.7123987535,442757.377355239,0.0,820.1226196289062,0.0,7391.599060058594,23799.093688964844,54666.64855957031
Baja California,4545875.339133589,36361675.52240637,57281591.791941196,27297293.903005324,44896954.59022623,58701788.37144464,30514428.25730531,21857904.51649242,88842712.13807613,12355200.329045314,2954495.564880371,5887339.685058594,8179102.25378418,14560746.36090088,26493320.01904297,7164987.9114990225,82202866.67761229,42146886.20471192,15431675.893170524,37730295.74798584
